id,plotname,address,city,state,zip,lat,long
1,Cook Home,2716 W Arrowhead Rd,Duluth,MN,55811,46.821659,-92.122786
2,Hannah House,1701 Jefferson St,Duluth,MN,55812,46.802657,-92.075621
3,Chester Creek,1425 E 9th St,Duluth,MN,55805,46.807131,-92.0896
4,Stoney Ground,1031 E 7th St,Duluth,MN,55805,46.802169,-92.092346
5,Georgia's,827 E 8th St,Duluth,MN,55805,46.801019,-92.096202
6,Sixth Street,724 E 6th St,Duluth,MN,55805,46.798558,-92.095166
7,Fourth Street,419 East 4th St,Duluth,MN,55805,46.794382,-92.097147
8,Lilliput,321 E 5th St,Duluth,MN,55805,46.793946,-92.099606
9,Bertha's,323 E 7th St,Duluth,MN,55805,46.795383,-92.101323
10,Hillside,306 E 8th St,Duluth,MN,55805,46.795539,-92.1035411
11,Strawberry Hill,219 W 6th St,Duluth,MN,55806,46.788797,-92.107781
12,Duluth Community Gardens Program,206 W 4th St,Duluth,MN,55806,46.787332,-92.105205
13,Rooftop,401 W 2nd St,Duluth,MN,55802,46.784126,-92.106894
14,Rocky Ledge,701 W 5th St,Duluth,MN,55806,46.783825,-92.112269
15,Fox Hole,916 W 6th St,Duluth,MN,55806,46.782126,-92.116674
16,Emerson,1103 W 3rd St,Duluth,MN,55806,46.778741,-92.115638
17,Emerald,2001 W 4th St,Duluth,MN,55806,46.770775,-92.127428
18,Harrison,3000 W 3rd St,Duluth,MN,55806,46.760249,-92.137611
19,Denfeld Food Forest,4441 Grand Ave,Duluth,MN,55807,46.747113,-92.158307
20,Apple Tree Circle,527 S 72nd Ave W,Duluth,MN,55807,46.726616,-92.189407
21,Riverside,28 Riverside Dr,Duluth,MN,55808,46.710433,-92.206392
